Numero;ID;Titulo;Preco;Preco_Promocional;Categorias;Descricao_Curta;Descricao_Completa;Status;Condicao;Marca;Qtd_Fotos;Pasta_Fotos;Fotos_Locais;URL_Foto_Destaque
1;"96945674-aace-477d-9479-bac407b4d2b3";"Camisa UV50+ Personalizada";130,00;;"Camisas";"Em até 3x nos cartões ou 5% OFF no pix, + 10 peças";"Camisas DryFit com proteção solar UV50+ personalizada, reforço na gola e punhos, gola padre.";"disponivel";"novo";"Marruá Empório";8;"imagens/01 - Camisa UV50+ Personalizada";"imagens/01 - Camisa UV50+ Personalizada/foto_01.jpeg | imagens/01 - Camisa UV50+ Personalizada/foto_02.jpeg | imagens/01 - Camisa UV50+ Personalizada/foto_03.jpeg | imagens/01 - Camisa UV50+ Personalizada/foto_04.jpeg | imagens/01 - Camisa UV50+ Personalizada/foto_05.jpeg | imagens/01 - Camisa UV50+ Personalizada/foto_06.jpeg | imagens/01 - Camisa UV50+ Personalizada/foto_07.jpeg | imagens/01 - Camisa UV50+ Personalizada/foto_08.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/96945674-aace-477d-9479-bac407b4d2b3-7-0.25104708341975546.jpeg"
2;"94b3d7a0-8b43-4f76-9ab3-23737cfa2160";"Espetos para churrasco Personalizados";250,00;240,00;"Churrasco";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto 5 espetos com cabo de madeira para churrasco com bainha, personalizados com marca, logo.";"disponivel";"novo";"Marruá Empório";2;"imagens/02 - Espetos para churrasco Personalizados";"imagens/02 - Espetos para churrasco Personalizados/foto_01.jpeg | imagens/02 - Espetos para churrasco Personalizados/foto_02.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/94b3d7a0-8b43-4f76-9ab3-23737cfa2160-0-0.4843651060134656.jpeg"
3;"86594e26-fe71-4e57-818b-581594dcc55a";"Kit Chimarrão";460,00;410,00;"Kits, Chimarrão";"Em até 3x nos cartões ou 5% OFF no pix";"Kit chimarrão, mateira em couro legítimo, garrafa 1L em aço inoxidável, cuia porongo e bomba em aço inoxidável.";"disponivel";"novo";"Marruá Empório";2;"imagens/03 - Kit Chimarrão";"imagens/03 - Kit Chimarrão/foto_01.jpg | imagens/03 - Kit Chimarrão/foto_02.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/86594e26-fe71-4e57-818b-581594dcc55a-1-0.8195602915433308.jpg"
4;"08dbe47a-f40a-40fd-bb26-720e02bb7340";"Cantil De Bolso Flask Stanley 236ml";450,00;410,00;"Novidades";"Em até 6x nos cartões";"Cantil de Bolso Flask Stanley 236ml – Clássico, Durável e Pronto para Qualquer Aventura Leve seu destilado favorito para qualquer lugar com estilo e praticidade! O Cantil de Bolso Stanley 236ml é feito em aço inoxidável de alta qualidade , garantindo resistência, durabilidade e zero oxidação , mesmo nas aventuras mais intensas. Com seu design compacto e curvado , ele se encaixa perfeitamente no bolso ou mochila, tornando-se o companheiro ideal para trilhas, acampamentos, festas e viagens. A tampa rosqueável com trava evita vazamentos, garantindo total segurança no transporte. ✅ Capacidade: 236ml ✅ Material: Aço inoxidável 18/8 (livre de BPA) ✅ Tampa à prova de vazamentos ✅ Design clássico e ergonômico ✅ Ideal para bebidas destiladas Stanley – tradição centenária em produtos feitos para durar. Perfeito para quem valoriza qualidade, praticidade e um toque de aventura em cada gole.";"disponivel";"novo";"Stanley";3;"imagens/04 - Cantil De Bolso Flask Stanley 236ml";"imagens/04 - Cantil De Bolso Flask Stanley 236ml/foto_01.jpg | imagens/04 - Cantil De Bolso Flask Stanley 236ml/foto_02.png | imagens/04 - Cantil De Bolso Flask Stanley 236ml/foto_03.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/08dbe47a-f40a-40fd-bb26-720e02bb7340-0-0.8734912878441436.jpg"
5;"d40ddd84-8b04-487a-b282-83ac2c652723";"Faca 8"" aço inoxidável, com chaira e bainha de couro.";270,00;260,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo de rabo de tatu sintético, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/05 - Faca 8_ aço inoxidável, com chaira e bainha de couro.";"imagens/05 - Faca 8_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/d40ddd84-8b04-487a-b282-83ac2c652723-0-0.6415571721113558.png"
6;"eb71285f-792d-4785-b9d3-82965fa2a143";"Fivela Pioneer ";60,00;55,00;"Cinto e Fivela";"";"Fivela Pioneer material zamac.";"disponivel";"novo";"Marruá Empório";4;"imagens/06 - Fivela Pioneer";"imagens/06 - Fivela Pioneer/foto_01.jpg | imagens/06 - Fivela Pioneer/foto_02.jpg | imagens/06 - Fivela Pioneer/foto_03.jpg | imagens/06 - Fivela Pioneer/foto_04.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/eb71285f-792d-4785-b9d3-82965fa2a143-2-0.7013500442882816.jpg"
7;"e4d85e31-7cd9-4aae-8d8e-83b9fc4394af";"Kit Social Import";580,00;;"Kits";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Kit Social, chaveiro Victorinox com mosquetão, copo prismático Borbon Stanley, faca 6"" cabo de madeira e bainha de couro, caixa em MDF pintura black.";"disponivel";"novo";"Marruá Empório";2;"imagens/07 - Kit Social Import";"imagens/07 - Kit Social Import/foto_01.jpg | imagens/07 - Kit Social Import/foto_02.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/e4d85e31-7cd9-4aae-8d8e-83b9fc4394af-1-0.2863158924234268.jpg"
8;"a699dbea-ead8-44ec-b05c-cc6875a153d5";"Faca trio 9"", com chaira e bainha de couro.";340,00;320,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca, chaira e garfo 9"", cabo de rabo de tatu sintético, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/08 - Faca trio 9_, com chaira e bainha de couro.";"imagens/08 - Faca trio 9_, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/a699dbea-ead8-44ec-b05c-cc6875a153d5-0-0.9491909793246694.png"
9;"27bdb187-a911-4fb5-b22c-4b8f81f84749";"Chaveiro Nelore";17,00;;"Chaveiros";"";"Chaveiro modelo boi nelore, zamac.";"disponivel";"novo";"Marruá Empório";1;"imagens/09 - Chaveiro Nelore";"imagens/09 - Chaveiro Nelore/foto_01.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/product/d067d5fa-8c5a-47cf-8ad9-86649aad37f5/product-27bdb187-a911-4fb5-b22c-4b8f81f84749-1782393737596-8imuaub29.jpg"
10;"6f68b0c7-dfe4-4a61-b7b3-42c57e2dc5ce";"Kit tereré";120,00;;"Tereré, Kits";"";"Kit tereré, copo inox quadrado, bomba inox modelos, e limpador de bomba.";"disponivel";"novo";"";8;"imagens/10 - Kit tereré";"imagens/10 - Kit tereré/foto_01.jpeg | imagens/10 - Kit tereré/foto_02.jpeg | imagens/10 - Kit tereré/foto_03.jpeg | imagens/10 - Kit tereré/foto_04.jpeg | imagens/10 - Kit tereré/foto_05.jpeg | imagens/10 - Kit tereré/foto_06.jpeg | imagens/10 - Kit tereré/foto_07.jpeg | imagens/10 - Kit tereré/foto_08.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/6f68b0c7-dfe4-4a61-b7b3-42c57e2dc5ce-4-0.9399123038564862.jpeg"
11;"5a678496-3dea-4454-ac4b-abbafcdce311";"Faca 6"" aço inoxidável, com chaira e bainha de couro.";230,00;220,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo curvo de madeira, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/11 - Faca 6_ aço inoxidável, com chaira e bainha de couro.";"imagens/11 - Faca 6_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/5a678496-3dea-4454-ac4b-abbafcdce311-0-0.6441950422370407.png"
12;"d8661021-4fb5-4791-bcd1-9d7468f6e909";"Faca curva 6"", bainha de couro.";180,00;160,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Faca curva 6"", cabo de madeira, aço carbono fosfotizada, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/12 - Faca curva 6_, bainha de couro.";"imagens/12 - Faca curva 6_, bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/d8661021-4fb5-4791-bcd1-9d7468f6e909-0-0.3122963433719479.png"
13;"3e8cc578-1ea0-4d2e-b082-ab58679ea9e6";"Faca 8"" aço inoxidável, com chaira e bainha de couro.";270,00;260,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo de madeira, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/13 - Faca 8_ aço inoxidável, com chaira e bainha de couro.";"imagens/13 - Faca 8_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/3e8cc578-1ea0-4d2e-b082-ab58679ea9e6-0-0.7424658646820145.png"
14;"e51e4f28-d399-4665-a843-b48147a507a2";"Faca 8"" aço inoxidável, com chaira e bainha de couro.";270,00;260,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo de madeira e chifre, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/14 - Faca 8_ aço inoxidável, com chaira e bainha de couro.";"imagens/14 - Faca 8_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/e51e4f28-d399-4665-a843-b48147a507a2-0-0.7061821665104508.png"
15;"4db89d77-d82a-4fa4-a05b-ba0837393fe2";"Copo porta longneck";80,00;;"Térmicas";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Copo porta longneck com suporte para latas e garrafas longneck, tampa rosqueável e abridor de garrafas no fundo.";"disponivel";"novo";"Marruá Empório";4;"imagens/15 - Copo porta longneck";"imagens/15 - Copo porta longneck/foto_01.jpeg | imagens/15 - Copo porta longneck/foto_02.jpg | imagens/15 - Copo porta longneck/foto_03.jpeg | imagens/15 - Copo porta longneck/foto_04.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/4db89d77-d82a-4fa4-a05b-ba0837393fe2-3-0.01902008998017013.jpeg"
16;"8b5dedbe-0969-4489-8dc1-5909a9a3002a";"Chaveiro ecológico";15,00;;"Chaveiros";"";"Chaveiro em madeira ecológico.";"disponivel";"novo";"Marruá Empório";1;"imagens/16 - Chaveiro ecológico";"imagens/16 - Chaveiro ecológico/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/8b5dedbe-0969-4489-8dc1-5909a9a3002a-0-0.1572563185764515.jpeg"
17;"ca6c9d8f-b388-4e5c-820e-e0a058731941";"Kit Chimarrão";250,00;230,00;"Chimarrão, Kits";"Em até 3x nos cartões ou 5% OFF no pix";"Kit chimarrão, cuia porongo, bomba em aço inoxidável com estojo, caixa em MDF com pintura Black. Todos os itens personalizáveis.";"disponivel";"novo";"Marruá Empório";3;"imagens/17 - Kit Chimarrão";"imagens/17 - Kit Chimarrão/foto_01.jpeg | imagens/17 - Kit Chimarrão/foto_02.jpeg | imagens/17 - Kit Chimarrão/foto_03.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/ca6c9d8f-b388-4e5c-820e-e0a058731941-0-0.8013679360234214.jpeg"
18;"a3285850-2681-4d6a-af00-bdcffb8cbd9d";"Boné Trucker personalizado";33,00;;"Bonés e chapéus";"Em até 3x nos cartões ou 5% OFF no pix";"Boné trucker personalizado, forma americana, pode ser personalizado com logomarca. +30 peças";"disponivel";"novo";"Marruá Empório";5;"imagens/18 - Boné Trucker personalizado";"imagens/18 - Boné Trucker personalizado/foto_01.jpeg | imagens/18 - Boné Trucker personalizado/foto_02.jpg | imagens/18 - Boné Trucker personalizado/foto_03.jpeg | imagens/18 - Boné Trucker personalizado/foto_04.jpg | imagens/18 - Boné Trucker personalizado/foto_05.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/a3285850-2681-4d6a-af00-bdcffb8cbd9d-0-0.10600405551355663.jpeg"
19;"a0f149df-f2b5-404b-9398-59a4c893c329";"Faca 8"" aço inoxidável, com chaira e bainha de couro";270,00;260,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo de cartucho .50, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/19 - Faca 8_ aço inoxidável, com chaira e bainha de couro";"imagens/19 - Faca 8_ aço inoxidável, com chaira e bainha de couro/foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/a0f149df-f2b5-404b-9398-59a4c893c329-0-0.17942477948025515.png"
20;"dab07e8b-ef05-40d0-bfa8-6089f972d8b8";"Faca 8"" aço inoxidável, com chaira e bainha de couro.";270,00;260,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo de osso, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/20 - Faca 8_ aço inoxidável, com chaira e bainha de couro.";"imagens/20 - Faca 8_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/dab07e8b-ef05-40d0-bfa8-6089f972d8b8-0-0.4075234116431611.png"
21;"ab55de22-9f4b-4af2-aae4-17cc768aa75d";"Faca 8"" aço inoxidável, com chaira e bainha de couro.";270,00;260,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo de chifre e osso, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/21 - Faca 8_ aço inoxidável, com chaira e bainha de couro.";"imagens/21 - Faca 8_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/ab55de22-9f4b-4af2-aae4-17cc768aa75d-0-0.6084006129159564.png"
22;"3f3e8e04-83ad-490d-bf17-fe0bd362c26a";"Faca 8"" aço inoxidável, com chaira e bainha de couro.";270,00;260,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo de osso e madeira, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/22 - Faca 8_ aço inoxidável, com chaira e bainha de couro.";"imagens/22 - Faca 8_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/3f3e8e04-83ad-490d-bf17-fe0bd362c26a-0-0.913674946346407.png"
